id,position,goal,steps,moves,distance,mate,forcing,nonforcing,winning,threat_ignored,threat_at_line_end,quiet,blocks,decisive_steps,root_pieces
450f54ec9b8a,6100dc121d:2000280922181e2,win,9,17,31,mate in 16,1,8,0,0,1,7,4,5,28
8b7f303fc4c5,1008800d15018401:51100800c312c,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
ff03b22378cc,2904009c008c43:4008029003910b8,win,4,7,7,mate in 4,3,1,1,0,0,0,1,3,28
93547de334d1,18089141a9108:8008011081810497,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
ec0a9e1de2ec,29401040d4a09:1001000e90029446,win,3,5,5,mate in 3,0,3,1,1,0,1,0,3,28
630c40733f47,42900a11c25:10211000144880da,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
35c81eea536d,46900a11c25:10211000144880da,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
c5c891dfd012,41a04900899080:80001000b8402969,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
5aacab52c896,a719b1c:90069008844e1,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
672d7c45fe59,4853c1a22:800084000081a59d,win,7,13,29,mate in 15,2,5,0,0,1,4,5,2,27
547e9e9be867,1801005000d19046:40980198080899,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
0675b537a6bb,9009018041811409:9009b408e180,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
28c8cb4a8e3e,21840016091138:23180328607,win,6,11,17,mate in 9,1,5,0,0,1,4,4,2,28
1efc3027f9b8,1910a11211801:90080001880a852a,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
9959b3f5e892,280119003090a4:11024110d0919,win,4,7,9,mate in 5,3,1,0,0,1,0,0,4,27
54def64dfe14,100928a81945:100c00049005a0b8,win,6,11,15,mate in 8,1,5,0,0,1,4,4,2,28
92687a97408d,1040913000d68:8104004599215,win,9,17,35,mate in 18,1,8,0,0,1,7,6,3,27
41d84b2170c5,2a014a13c3:100a10401030c838,win,3,5,9,mate in 5,0,3,0,0,0,3,2,1,28
82286d9a0a8e,1008002010215907:18098808a638,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
01efc2b14ba1,20403000e048131:1002501211e86,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
7c97ad8eee83,38100814c8324:81000003002310db,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
379243dd3be8,40108b8282921:8008b0240104900e,win,3,5,7,mate in 4,1,2,1,1,0,0,1,2,28
b0370b42ff74,43009100930a8:1008008420b48415,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
f2ab94d69e2f,18001044d5038:10001048d0108445,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,26
580de07be4e9,918012080b828:8da294283,win,3,5,5,mate in 3,2,1,1,0,0,0,0,3,27
a70bec1b0779,8919019080a009:1100208829091980,win,3,5,5,mate in 3,1,2,1,1,0,0,0,3,28
26395f9c94d1,14c8930808088:48010004c097c01,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
f4aa73dc565a,184a890880488:8088000104619063,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
608b2e9e223c,2081000441ad41:800000209920123a,win,6,11,11,mate in 6,1,5,1,0,0,4,4,2,26
10e89fa97bbc,13884181261:8020840013208518,win,7,13,17,mate in 9,1,6,0,0,0,6,5,2,26
46d505bfeb93,1004821d2a141:4801031009189a,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
0d5c6d682928,1008002812199204:12010026243b,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
7d5fffa0c577,1a04c100d1048:90081001a040a205,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
5886705fd644,1102090298564:802880090400708b,win,7,13,33,mate in 17,0,7,1,0,0,6,5,2,28
a7e3a9b55b7b,1009002820602149:31011109d220,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
a052b0b406e1,8012000900b1168:8032804aa07,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
a7b175b17bfa,1800188608263:8000004054017d18,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
715a39591b62,100880031017040b:8007100c80089054,win,7,13,29,mate in 15,2,5,1,0,0,4,1,6,28
de7a8cd6df78,10090040a00d8019:300d10403864,win,3,5,5,mate in 3,2,1,1,0,0,0,0,3,26
e3d548ad8a36,4405350514201:401100040206905e,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
c2b4ab72353d,201c624c63:2218022008b11c,win,7,13,13,mate in 7,2,5,1,1,0,3,3,4,28
f4086747c30b,128282808d900:808010181612069,win,2,3,3,mate in 2,1,1,1,0,0,0,1,1,27
6cf26e05e2bf,20040196284608:40802280001b8a1,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
cdb95c08767e,2004810484b68:4800028a039483,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
ea10632402bd,21800300322039:80000030b1099142,win,3,5,5,mate in 3,1,2,1,1,0,0,0,3,27
d2a90f4b2d90,2060212020e304:20018000d003103b,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
c9fdd37f8733,188401a603820:8402001a0098249,win,6,11,11,mate in 6,5,1,1,0,0,0,2,4,26
be7e8a3a0e74,40000d00b1e82:1008100c0004c14d,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,26
1047dd17cea4,9010189518210:8800880812081949,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
752e6e793c9e,1881110918a2:1008010a0882a509,win,2,3,3,mate in 2,1,1,1,0,0,0,1,1,27
628f0db7d0b6,1480649a940:8048840099001609,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
ae9486aa21e1,1009002099411820:8000990900288149,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
4190fc9b5637,109024810498300:9040910183001049,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
837d787f191c,992210221a018:a2002008b00812a1,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,28
dcb4f78384dd,28500244231401:500000299008c03a,win,8,15,29,mate in 15,1,7,1,0,0,6,5,3,27
5a59076b982c,1081910140084a09:1004080918191a2,win,2,3,3,mate in 2,1,1,1,0,0,0,1,1,28
b05b7eaaba27,1009110005809424:a990290189,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,26
5afa3dc63d80,120800205200a618:360824385021,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
e4af9a97bf8e,10089803010b1801:80010108980083ca,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
5718dc9e3a57,20448842a8601:40000021341116e,win,3,5,5,mate in 3,1,2,1,1,0,0,0,3,27
681c79a82b3f,8188010101a5088:88a88808913,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
e42470ff77d3,18001100d08383:1804881095058,win,3,5,5,mate in 3,1,2,1,1,0,0,0,3,26
b5aef8e2ff39,511400001c18d:5d14e1842,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
9da644e2ce67,10080009c144c058:8001900010191307,win,3,5,5,mate in 3,2,1,1,0,0,0,1,2,28
52d33d062158,2180001401c945:10001061c1641420,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
8b172b8dfc2e,5102110301093:100000042905a92c,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
6bd3ad7b8733,100a100014300c51:20003a080a902a,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
946ddf9048ed,13188a1805080:208800015009a909,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
633ecc33d48c,190188009214a:9008000112109a15,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
682891d5fe9e,121889818381:208088012187818,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,28
0d792517ae17,18090084c28b:120802001a091814,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,26
b997d50f19f1,18090086c28b:120902001a091814,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,28
07e8f64a1fe1,97000600d2c08:600004091c00d025,win,3,5,5,mate in 3,2,1,1,0,0,0,0,3,28
bd396ee05d90,3128a4209424:9020800011092949,win,3,5,7,mate in 4,0,3,1,0,0,2,2,1,28
8eb178752df1,114014448b502:14008048b00140c9,win,3,5,5,mate in 3,1,2,1,1,0,0,1,2,28
ffb9e22940c6,28008492048391:4103801b8102c,win,6,11,17,mate in 9,0,6,0,0,1,5,4,2,28
2067d4ae0871,140c0802154a1:40144da805a,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
a445f10eff35,18408840170a8:80000021102e8c07,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
211add1a2aa8,10049900186c2:80088200024a380d,win,3,5,5,mate in 3,2,1,1,0,0,0,0,3,27
59d5a6932f09,100608068d0a2:1020900110012159,win,2,3,3,mate in 2,0,2,1,1,0,0,1,1,26
0ef0b033c5e3,219040184039408:400821812180293,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
ed1e6a2216b5,300960009011c001:400010096008301e,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,26
fe0363359616,300960009015c001:400010196008301e,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,28
096af32e235c,18c6014441824:58823a44b,win,3,5,5,mate in 3,1,2,1,1,0,0,0,3,28
8ffcd326995d,d020104208239:42c921d1404,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
03d3bd28f302,1005810681698:1802210611a061,win,7,13,31,mate in 16,1,6,0,0,1,5,4,3,28
5e9baaa07b7f,4094241106d:902009408e602,win,6,11,13,mate in 7,1,5,0,0,1,4,4,2,26
b194f60da38e,20100d40084a0d:840201225b0a2,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
6f0e6e425d56,402091488828b:1208100602071c04,win,3,5,5,mate in 3,1,2,1,1,0,0,0,3,28
2a86b52c1ff4,28980184081c01:8000042818a1a0a8,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
793312f61bde,10810008005c901c:810c5108101c1,win,7,13,33,mate in 17,0,7,0,0,0,7,5,2,26
ed77522ed079,1800502061076:8204024090418681,win,2,3,3,mate in 2,1,1,1,0,0,0,0,2,27
b9cb0e50e1ac,1148c900d0028:9008800104809685,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,27
b26928d1335f,20000d910910a2:800981200024810d,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,26
72e1400b3df2,20008d910910a2:8009812000a4810d,win,2,3,3,mate in 2,0,2,1,1,0,0,0,2,28
